part|module|q_code|q_desc|a_code|a_desc
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a003010|Material predominante na cobertura (telhado) do domicílio|4|Madeira apropriada para construção (aparelhada)
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a003010|Material predominante na cobertura (telhado) do domicílio|5|Zinco, alumínio ou chapa metálica
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a003010|Material predominante na cobertura (telhado) do domicílio|6|Outro material
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a003010|Material predominante na cobertura (telhado) do domicílio|9|Ignorado
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a003010|Material predominante na cobertura (telhado) do domicílio|NA|Não aplicável
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a004010|Qual é o material que predomina no piso deste domicílio|1|Cerâmica, lajota ou pedra (inclusive outros pisos frios como porcelanato e granito)
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a004010|Qual é o material que predomina no piso deste domicílio|2|Madeira apropriada para construção (aparelhada) (tábua corrida, taco, parquet e laminado)
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a004010|Qual é o material que predomina no piso deste domicílio|3|Cimento
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a004010|Qual é o material que predomina no piso deste domicílio|4|Terra
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a004010|Qual é o material que predomina no piso deste domicílio|5|Outro material
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a004010|Qual é o material que predomina no piso deste domicílio|9|Ignorado
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a004010|Qual é o material que predomina no piso deste domicílio|NA|Não aplicável
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a01001|Quantos cômodos têm este domicílio|01 a 30|Cômodo(s) no domicílio
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a01001|Quantos cômodos têm este domicílio|99|Ignorado
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a01001|Quantos cômodos têm este domicílio|NA|Não aplicável
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a011|Quantos cômodos estão servindo permanentemente de dormitório para os moradores deste domicílio|01 a 15|Cômodo(s) servindo de dormitório
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a011|Quantos cômodos estão servindo permanentemente de dormitório para os moradores deste domicílio|99|Ignorado
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a011|Quantos cômodos estão servindo permanentemente de dormitório para os moradores deste domicílio|NA|Não aplicável
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a005010|Qual é a principal forma de abastecimento de água deste domicílio|1|Rede geral de distribuição
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a005010|Qual é a principal forma de abastecimento de água deste domicílio|2|Poço profundo ou artesiano
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a005010|Qual é a principal forma de abastecimento de água deste domicílio|3|Poço raso, freático ou cacimba
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a005010|Qual é a principal forma de abastecimento de água deste domicílio|4|Fonte ou nascente
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a005010|Qual é a principal forma de abastecimento de água deste domicílio|5|Água da chuva armazenada
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a005010|Qual é a principal forma de abastecimento de água deste domicílio|6|Outra
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a005010|Qual é a principal forma de abastecimento de água deste domicílio|9|Ignorado
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a005010|Qual é a principal forma de abastecimento de água deste domicílio|NA|Não aplicável
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a005012|Este domicílio está ligado à rede geral de distribuição de água?|1|Sim
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a005012|Este domicílio está ligado à rede geral de distribuição de água?|2|Não
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a005012|Este domicílio está ligado à rede geral de distribuição de água?|9|Ignorado
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a005012|Este domicílio está ligado à rede geral de distribuição de água?|NA|Não aplicável
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a00601|A água utilizada neste domicílio chega|1|Canalizada em pelo menos um cômodo
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a00601|A água utilizada neste domicílio chega|2|Canalizada no terreno ou propriedade
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a00601|A água utilizada neste domicílio chega|3|Não canalizada
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a00601|A água utilizada neste domicílio chega|9|Ignorado
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a00601|A água utilizada neste domicílio chega|NA|Não aplicável
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a009010|A água utilizada para beber neste domicílio é|1|Filtrada
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a009010|A água utilizada para beber neste domicílio é|2|Fervida
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a009010|A água utilizada para beber neste domicílio é|3|Tratada com hipoclorito de sódio (cloro)
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a009010|A água utilizada para beber neste domicílio é|4|Tratada de outra forma no domicílio
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a009010|A água utilizada para beber neste domicílio é|5|Mineral industrializada
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a009010|A água utilizada para beber neste domicílio é|6|Sem tratamento no domicílio
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a009010|A água utilizada para beber neste domicílio é|9|Ignorado
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a009010|A água utilizada para beber neste domicílio é|NA|Não aplicável
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a01401|Quantos banheiros (com chuveiro ou banheira e vaso sanitário ou privada) de uso exclusivo dos moradores existem neste domicílio, inclusive os localizados no terreno ou propriedade|01 a 15|Banheiro(s) ou sanitário(s)
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a01401|Quantos banheiros (com chuveiro ou banheira e vaso sanitário ou privada) de uso exclusivo dos moradores existem neste domicílio, inclusive os localizados no terreno ou propriedade|0|Nenhum
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a01401|Quantos banheiros (com chuveiro ou banheira e vaso sanitário ou privada) de uso exclusivo dos moradores existem neste domicílio, inclusive os localizados no terreno ou propriedade|99|Ignorado
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a01401|Quantos banheiros (com chuveiro ou banheira e vaso sanitário ou privada) de uso exclusivo dos moradores existem neste domicílio, inclusive os localizados no terreno ou propriedade|NA|Não aplicável
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a01402|Quantos banheiros (com chuveiro ou banheira e vaso sanitário ou privada) de uso comum a mais de um domicilio, existem neste terreno ou propriedade|01 a 15|Banheiro(s) ou sanitário(s)
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a01402|Quantos banheiros (com chuveiro ou banheira e vaso sanitário ou privada) de uso comum a mais de um domicilio, existem neste terreno ou propriedade|00|Nenhum
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a01402|Quantos banheiros (com chuveiro ou banheira e vaso sanitário ou privada) de uso comum a mais de um domicilio, existem neste terreno ou propriedade|99|Ignorado
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a01402|Quantos banheiros (com chuveiro ou banheira e vaso sanitário ou privada) de uso comum a mais de um domicilio, existem neste terreno ou propriedade|NA|Não aplicável
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a01403|Utiliza sanitário ou buraco para dejeções, inclusive os localizados no terreno ou na propriedade (cercado por paredes de qualquer material|1|Sim
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a01403|Utiliza sanitário ou buraco para dejeções, inclusive os localizados no terreno ou na propriedade (cercado por paredes de qualquer material|2|Não
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a01403|Utiliza sanitário ou buraco para dejeções, inclusive os localizados no terreno ou na propriedade (cercado por paredes de qualquer material|9|Ignorado
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a01403|Utiliza sanitário ou buraco para dejeções, inclusive os localizados no terreno ou na propriedade (cercado por paredes de qualquer material|NA|Não aplicável
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a01501|Para onde vai o esgoto do banheiro? Ou Para onde vai o esgoto do sanitário ou do buraco para dejeções?|1|Rede geral de esgoto ou pluvial
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a01501|Para onde vai o esgoto do banheiro? Ou Para onde vai o esgoto do sanitário ou do buraco para dejeções?|2|Fossa séptica ligada à rede
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a01501|Para onde vai o esgoto do banheiro? Ou Para onde vai o esgoto do sanitário ou do buraco para dejeções?|3|Fossa séptica não ligada à rede
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a01501|Para onde vai o esgoto do banheiro? Ou Para onde vai o esgoto do sanitário ou do buraco para dejeções?|4|Fossa rudimentar
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a01501|Para onde vai o esgoto do banheiro? Ou Para onde vai o esgoto do sanitário ou do buraco para dejeções?|5|Vala
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a01501|Para onde vai o esgoto do banheiro? Ou Para onde vai o esgoto do sanitário ou do buraco para dejeções?|6|Rio, lago, córrego ou mar
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a01501|Para onde vai o esgoto do banheiro? Ou Para onde vai o esgoto do sanitário ou do buraco para dejeções?|7|Outra
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a01501|Para onde vai o esgoto do banheiro? Ou Para onde vai o esgoto do sanitário ou do buraco para dejeções?|9|Ignorado
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a01501|Para onde vai o esgoto do banheiro? Ou Para onde vai o esgoto do sanitário ou do buraco para dejeções?|NA|Não aplicável
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a016010|Qual o (principal) destino dado ao lixo|1|Coletado diretamente por serviço de limpeza (independente da frequência de dias de coleta)
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a016010|Qual o (principal) destino dado ao lixo|2|Coletado em caçamba de serviço de limpeza
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a016010|Qual o (principal) destino dado ao lixo|3|Queimado (na propriedade)
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a016010|Qual o (principal) destino dado ao lixo|4|Enterrado (na propriedade)
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a016010|Qual o (principal) destino dado ao lixo|5|Jogado em terreno baldio ou logradouro
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a016010|Qual o (principal) destino dado ao lixo|6|Outro
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a016010|Qual o (principal) destino dado ao lixo|9|Ignorado
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a016010|Qual o (principal) destino dado ao lixo|NA|Não aplicável
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a018011|Neste domicílio existe televisão em cores|1|Sim
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a018011|Neste domicílio existe televisão em cores|2|Não
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a018011|Neste domicílio existe televisão em cores|9|Ignorado
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a018011|Neste domicílio existe televisão em cores|NA|Não aplicável
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a018012|Quantos?|01 a 98|Televisão em cores
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a018012|Quantos?|99|Ignorado
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a018012|Quantos?|NA|Não aplicável
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a018013|Neste domicílio existe geladeira|1|Sim
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a018013|Neste domicílio existe geladeira|2|Não
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a018013|Neste domicílio existe geladeira|9|Ignorado
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a018013|Neste domicílio existe geladeira|NA|Não aplicável
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a018014|Quantos?|01 a 98|Geladeira
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a018014|Quantos?|99|Ignorado
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a018014|Quantos?|NA|Não aplicável
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a018015|Neste domicílio existe máquina de lavar roupa|1|Sim
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a018015|Neste domicílio existe máquina de lavar roupa|2|Não
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a018015|Neste domicílio existe máquina de lavar roupa|9|Ignorado
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a018015|Neste domicílio existe máquina de lavar roupa|NA|Não aplicável
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a018016|Quantos?|01 a 98|máquina de lavar roupa
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a018016|Quantos?|99|Ignorado
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a018016|Quantos?|NA|Não aplicável
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a018017|Neste domicílio existe telefone fixo convencional|1|Sim
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a018017|Neste domicílio existe telefone fixo convencional|2|Não
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a018017|Neste domicílio existe telefone fixo convencional|9|Ignorado
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a018017|Neste domicílio existe telefone fixo convencional|NA|Não aplicável
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a018018|Quantos?|01 a 98|Telefone fixo
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a018018|Quantos?|99|Ignorado
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a018018|Quantos?|NA|Não aplicável
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a018019|Neste domicílio existe telefone móvel celular|1|Sim
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a018019|Neste domicílio existe telefone móvel celular|2|Não
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a018019|Neste domicílio existe telefone móvel celular|9|Ignorado
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a018019|Neste domicílio existe telefone móvel celular|NA|Não aplicável
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a018020|Quantos?|01 a 98|Telefone celular
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a018020|Quantos?|99|Ignorado
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a018020|Quantos?|NA|Não aplicável
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a018021|Neste domicílio existe forno micro-ondas|1|Sim
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a018021|Neste domicílio existe forno micro-ondas|2|Não
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a018021|Neste domicílio existe forno micro-ondas|9|Ignorado
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a018021|Neste domicílio existe forno micro-ondas|NA|Não aplicável
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a018022|Quantos?|01 a 98|Forno micro-ondas
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a018022|Quantos?|99|Ignorado
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a018022|Quantos?|NA|Não aplicável
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a018023|Neste domicílio existe computador (considere inclusive os portáteis, tais como: laptop, notebook ou netbook)?|1|Sim
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a018023|Neste domicílio existe computador (considere inclusive os portáteis, tais como: laptop, notebook ou netbook)?|2|Não
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a018023|Neste domicílio existe computador (considere inclusive os portáteis, tais como: laptop, notebook ou netbook)?|9|Ignorado
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a018023|Neste domicílio existe computador (considere inclusive os portáteis, tais como: laptop, notebook ou netbook)?|NA|Não aplicável
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a018024|Quantos?|01 a 98|Computador (computadores de mesa, laptops, notebooks)
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a018024|Quantos?|99|Ignorado
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a018024|Quantos?|NA|Não aplicável
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a018025|Neste domicílio existe motocicleta|1|Sim
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a018025|Neste domicílio existe motocicleta|2|Não
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a018025|Neste domicílio existe motocicleta|9|Ignorado
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a018025|Neste domicílio existe motocicleta|NA|Não aplicável
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a018026|Quantos?|01 a 98|Motocicletas
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a018026|Quantos?|99|Ignorado
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a018026|Quantos?|NA|Não aplicável
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a018027|Neste domicílio existe automóvel|1|Sim
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a018027|Neste domicílio existe automóvel|2|Não
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a018027|Neste domicílio existe automóvel|9|Ignorado
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a018027|Neste domicílio existe automóvel|NA|Não aplicável
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a018028|Quantos?|01 a 98|Automóvel
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a018028|Quantos?|99|Ignorado
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a018028|Quantos?|NA|Não aplicável
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a01901|Algum morador tem acesso à Internet no domicílio por meio de computador, tablet, telefone móvel celular, televisão ou outro equipamento?|1|Sim
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a01901|Algum morador tem acesso à Internet no domicílio por meio de computador, tablet, telefone móvel celular, televisão ou outro equipamento?|2|Não
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a01901|Algum morador tem acesso à Internet no domicílio por meio de computador, tablet, telefone móvel celular, televisão ou outro equipamento?|9|Ignorado
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a01901|Algum morador tem acesso à Internet no domicílio por meio de computador, tablet, telefone móvel celular, televisão ou outro equipamento?|NA|Não aplicável
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a02101|No seu domicílio, há trabalhador (as) doméstico(as) que trabalham em seu domicílio três vezes ou mais por semana (empregada doméstica, babá, cuidador etc.)|1|Sim
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a02101|No seu domicílio, há trabalhador (as) doméstico(as) que trabalham em seu domicílio três vezes ou mais por semana (empregada doméstica, babá, cuidador etc.)|2|Não
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a02101|No seu domicílio, há trabalhador (as) doméstico(as) que trabalham em seu domicílio três vezes ou mais por semana (empregada doméstica, babá, cuidador etc.)|NA|Não aplicável
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a02102|Quantos?|01 a 98|Trabalhadores domésticos
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a02102|Quantos?|99|Ignorado
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a02102|Quantos?|NA|Não aplicável
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a02201|Em seu domicílio, há algum animal de estimação|1|Sim
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a02201|Em seu domicílio, há algum animal de estimação|2|Não
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a02201|Em seu domicílio, há algum animal de estimação|9|Ignorado
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a02201|Em seu domicílio, há algum animal de estimação|NA|Não aplicável
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a02305|Quantos destes animais são gatos|00 a 98|Gatos
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a02305|Quantos destes animais são gatos|99|Ignorado
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a02305|Quantos destes animais são gatos|NA|Não aplicável
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a02306|Quantos destes animais são cachorros|00 a 98|Cachorros
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a02306|Quantos destes animais são cachorros|99|Ignorado
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a02306|Quantos destes animais são cachorros|NA|Não aplicável
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a02307|Quantos destes animais são aves|00 a 98|Aves
